4-in-1 Fun Pak
4-in-1 Funpak: Volume II
Addams Family, The
Addams Family: Pugsley's Scavenger Hunt, The
Adventure Island
Adventure Island II: Aliens in Paradise
Adventures of Rocky and Bullwinkle and Friends, The
Adventures of Star Saver, The
Aerostar
Alfred Chicken
Alien 3
Alien vs Predator: The Last of His Clan
All-Star Baseball '99
Alleyway
Altered Space: A 3-D Alien Adventure
Amazing Penguin
Amazing Spider-Man 2, The
Amazing Spider-Man, The
Amazing Tater
Animaniacs
Arcade Classic No. 1: Asteroids / Missile Command
Arcade Classic No. 2: Centipede / Millipede
Arcade Classic No. 3: Galaga / Galaxian
Arcade Classic No. 4: Defender / Joust
Asteroids
Atomic Punk
Attack of the Killer Tomatoes
Avenging Spirit
Balloon Kid
Barbie: Game Girl
Bart Simpson's Escape from Camp Deadly
Baseball
Bases Loaded
Batman Forever
Batman: Return of the Joker
Batman: The Animated Series
Batman: The Video Game
Battle Arena Toshinden
Battle Bull
Battle Unit Zeoth
Battleship
Battletoads
Battletoads & Double Dragon: The Ultimate Team
Battletoads in Ragnarok's World
Battlezone/Super Breakout
Beavis and Butt-head
Beetlejuice
Berlitz French Translator
Berlitz Spanish Translator
Best of the Best: Championship Karate
Bill & Ted's Excellent Game Boy Adventure: A Bogus Journey!
Bill Elliott's NASCAR Fast Tracks
Bionic Battler
Bionic Commando
Black Bass: Lure Fishing
Blades of Steel
Blaster Master Boy
Blues Brothers, The
Bo Jackson: Two Games In One
Boggle Plus
Bomberman GB
Bonk's Adventure
Bonk's Revenge
Boomer's Adventure in ASMIK World
Boxxle
Boxxle II
Brain Drain
Brainbender
Bram Stoker's Dracula
BreakThru!
Bubble Bobble
Bubble Bobble Part 2
Bubble Ghost
Bubsy II
Bugs Bunny Crazy Castle 2, The
Bugs Bunny Crazy Castle, The
Burai Fighter Deluxe
BurgerTime Deluxe
Bust-A-Move 2: Arcade Edition
Buster Brothers
Caesars Palace
Captain America and The Avengers
Casino FunPak
Casper
Castelian
Castlevania II: Belmont's Revenge
Castlevania Legends
Castlevania: The Adventure
Catrap
Centipede (Accolade)
Centipede (Majesco)
Championship Pool
Chase H.Q.
Chessmaster, The
Choplifter II
Chuck Rock
Cliffhanger
College Slam
Contra: The Alien Wars
Cool Ball
Cool Spot
Cool World
Cosmo Tank
Crystal Quest
Cutthroat Island
Cyraid
Daedalian Opus
Daffy Duck: The Marvin Missions
Darkman
David Crane's The Rescue of Princess Blobette
Days of Thunder
Dead Heat Scramble
Dennis the Menace
Desert Strike: Return to the Gulf
Dexterity
Dick Tracy
Dig Dug
Disney's Aladdin
Disney's Darkwing Duck
Disney's DuckTales
Disney's DuckTales 2
Disney's Hercules
Disney's Mulan
Disney's Pinocchio
Disney's Pocahontas
Disney's TaleSpin
Disney's The Hunchback of Notre Dame
Disney's The Jungle Book
Disney's The Little Mermaid
Disney's Toy Story
Donkey Kong
Donkey Kong Land
Donkey Kong Land 2
Donkey Kong Land III
Double Dragon
Double Dragon 3: The Arcade Game
Double Dragon II
Double Dribble: 5 on 5
Dr. Franken
Dr. Franken II
Dr. Mario
Dragon's Lair: The Legend
DragonHeart
Earthworm Jim
Elevator Action
Elite Soccer
Extra Bases
F-1 Race
F-15 Strike Eagle
F1 Pole Position
Faceball 2000
Fastest Lap
Felix the Cat
Ferrari Grand Prix Challenge
Fidgetts, The
FIFA International Soccer
FIFA Soccer 96
FIFA Soccer 97
Fighting Simulator: 2-in-1 Flying Warriors
Final Fantasy Adventure
Final Fantasy Legend II
Final Fantasy Legend III
Final Fantasy Legend, The
Fish Dude
Fist of the North Star: 10 Big Brawls for the King of Universe
Flash, The
Flintstones, The
Flintstones: King Rock Treasure Island, The
Flipull: An Exciting Cube Game
Foreman for Real
Fortified Zone
Frank Thomas Big Hurt Baseball
Frogger
Game & Watch Gallery
Game of Harmony, The
Gargoyle's Quest: Ghosts 'n Goblins
Gauntlet II
Gear Works
George Foreman's KO Boxing
Getaway: High Speed II, The
Ghostbusters II
Go! Go! Tank
Goal!
Godzilla
Golf
Gradius: The Interstellar Assault
Great Greed
Gremlins 2: The New Batch
HAL Wrestling
Harvest Moon GB
Hatris
Heavyweight Championship Boxing
Heiankyo Alien
High Stakes Gambling
Hit the Ice
Home Alone
Home Alone 2: Lost in New York
Hook
Hudson Hawk
Humans, The
Hunt for Red October, The
Hyper Lode Runner: The Labyrinth of Doom
In Your Face
Incredible Crash Dummies, The
Indiana Jones and the Last Crusade
InfoGenius Productivity Pak: Frommer's Travel Guide
InfoGenius Productivity Pak: Personal Organizer and Phone Book
InfoGenius Productivity Pak: Spell Checker and Calculator
International Superstar Soccer
Iron Man and X-O Manowar in Heavy Metal
Ishido: The Way of Stones
Jack Nicklaus Golf
James Bond 007
Jeep Jamboree: Off Road Adventure
Jeopardy!
Jeopardy! Platinum Edition
Jeopardy! Sports Edition
Jeopardy! Teen Tournament
Jetsons: Robot Panic, The
Jimmy Connors Tennis
Joe & Mac
Jordan vs. Bird: One on One
Judge Dredd
Jungle Strike
Jurassic Park
Jurassic Park Part 2: The Chaos Continues
Ken Griffey, Jr. Presents Major League Baseball
Kid Dracula
Kid Icarus: Of Myths and Monsters
Killer Instinct
King of Fighters '95, The
Kingdom Crusade
Kirby's Block Ball
Kirby's Dream Land
Kirby's Dream Land 2
Kirby's Pinball Land
Kirby's Star Stacker
Klax
Knight Quest
Krusty's Fun House
Kung Fu Master
Kwirk
Lamborghini American Challenge
Last Action Hero
Lazlo's Leap
Legend of the River King GB
Legend of Zelda: Link's Awakening, The
Lemmings
Lethal Weapon
Lion King, The
Lock 'n' Chase
Looney Tunes
Loopz
Lost World: Jurassic Park, The
Madden '95
Madden '96
Madden '97
Malibu Beach Volleyball
Marble Madness
Mario's Picross
Maru's Mission
Maui Mallard in Cold Shadow
Mega Man II
Mega Man III
Mega Man IV
Mega Man V
Mega Man: Dr. Wily's Revenge
Megalit
Mercenary Force
Metal Masters
Metroid II: Return of Samus
Mickey Mouse: Magic Wands!
Mickey's Dangerous Chase
Mickey's Ultimate Challenge
Micro Machines
Mighty Morphin Power Rangers
Mighty Morphin Power Rangers: The Movie
Milon's Secret Castle
Miner 2049er
Missile Command
Mole Mania
Monopoly
Monster Truck Wars
Mortal Kombat
Mortal Kombat & Mortal Kombat II
Mortal Kombat 3
Mortal Kombat II
Motocross Maniacs
Mouse Trap Hotel
Mr. Chin's Gourmet Paradise
Mr. Do!
Ms. Pac-Man
Muhammad Ali Heavyweight Boxing
Mysterium
Mystical Ninja Starring Goemon
Nail 'n' Scale
Navy SEALs
NBA All-Star Challenge
NBA All-Star Challenge 2
NBA Jam
NBA Jam: Tournament Edition
NBA Live 96
Nemesis
New Chessmaster, The
NFL Football
NFL Quarterback Club
NFL Quarterback Club 96
NFL Quarterback Club II
NHL 96
NHL Hockey 95
Nigel Mansell's World Championship Racing
Ninja Boy
Ninja Boy 2
Ninja Gaiden Shadow
Ninja Taro
Nintendo World Cup
Nobunaga's Ambition
Oddworld Adventures
Olympic Summer Games: Atlanta 1996
Operation C
Out of Gas
Pac-Attack
Pac-In-Time
Pac-Man
Pagemaster, The
Panel Action Bingo
Paperboy
Paperboy 2
Penguin Wars
PGA European Tour
PGA Tour 96
Pinball Dreams
Pinball Fantasies
Pinball: Revenge of the 'Gator
Pipe Dream
Pit-Fighter
Play Action Football
Pokémon Blue Version
Pokémon Red Version
Pokémon Yellow Version: Special Pikachu Edition
Popeye 2
Power Mission
Power Racer
Prehistorik Man
Primal Rage
Prince of Persia
Prophecy: The Viking Child
Punisher: The Ultimate Payback, The
Pyramids of Ra
Q*bert for Game Boy
QBillion
Qix
Quarth
R-Type
Race Days
Race Drivin'
Radar Mission
Raging Fighter
Rampart
Real Ghostbusters, The
Ren & Stimpy Show: Space Cadet Adventure, The
Ren & Stimpy Show: Veediots!, The
Riddick Bowe Boxing
Ring Rage
Road Rash
Robin Hood: Prince of Thieves
RoboCop
RoboCop 2
RoboCop Versus The Terminator
Roger Clemens' MVP Baseball
Rolan's Curse
Rolan's Curse 2
Rugrats Movie, The
Samurai Shodown
SeaQuest DSV
Serpent
Shanghai
Shaq Fu
Side Pocket
Simpsons: Bart & the Beanstalk, The
Simpsons: Bart vs. The Juggernauts, The
Simpsons: Itchy & Scratchy in Miniature Golf Madness, The
Skate or Die: Bad 'n' Rad
Skate or Die: Tour de Thrash
Small Soldiers
Smurfs, The
Sneaky Snakes
Snoopy's Magic Show
Snow Bros. Jr.
Soccer Mania
SolarStriker
Solitaire FunPak
Solomon's Club
Space Invaders
Spanky's Quest
Speedball 2: Brutal Deluxe
Speedy Gonzales
Spider-Man 3: Invasion of the Spider-Slayers
Spider-Man and the X-Men in Arcade's Revenge
Sports Illustrated for Kids: The Ultimate Triple Dare!
Sports Illustrated: Championship Football & Baseball
Sports Illustrated: Golf Classic
Spot: The Cool Adventure
Spot: The Video Game
Spud's Adventure
Spy vs. Spy: Operation Boobytrap
Square Deal: The Game of Two Dimensional Poker
Star Trek Generations: Beyond the Nexus
Star Trek: 25th Anniversary
Star Trek: The Next Generation
Star Wars
Star Wars: The Empire Strikes Back
Stargate
Stop That Roach!
Street Fighter II
Street Racer
Sumo Fighter
Super Battletank: War in the Gulf
Super Black Bass
Super Breakout
Super Chase H.Q.
Super Hunchback
Super Mario Land
Super Mario Land 2: 6 Golden Coins
Super Off Road
Super R.C. Pro-Am
Super Scrabble
Super Star Wars: Return of the Jedi
Superman
Swamp Thing
Sword of Hope II, The
Sword of Hope, The
T2: The Arcade Game
Tail 'Gator
Tamagotchi
Tarzan: Lord of the Jungle
Tasmania Story
Taz-Mania
Taz-Mania 2
Tecmo Bowl
Teenage Mutant Ninja Turtles II: Back from the Sewers
Teenage Mutant Ninja Turtles III: Radical Rescue
Teenage Mutant Ninja Turtles: Fall of the Foot Clan
Tennis
Terminator 2: Judgment Day
Tesserae
Tetris
Tetris 2
Tetris Attack
Tetris Blast
Tetris Plus
Tiny Toon Adventures 2: Montana's Movie Madness
Tiny Toon Adventures: Babs' Big Break
Tiny Toon Adventures: Wacky Sports
Titus the Fox
Tom & Jerry
Tom and Jerry: Frantic Antics
Top Gun: Guts and Glory
Top Rank Tennis
Torpedo Range
Total Carnage
Toxic Crusaders
Track & Field
Track Meet
Trax
True Lies
Tumblepop
Turn and Burn: The F-14 Dogfight Simulator
Turok: Battle of the Bionosaurs
Turrican
Ultima: Runes of Virtue
Ultima: Runes of Virtue II
Ultra Golf
Universal Soldier
